_id,movie_name,movie_year,movie_actors,movie_rating,movie_review_url
0082971,Raiders of the Lost Ark,1981,Steven Spielberg (dir.), Harrison Ford, Karen Allen,8.4,https://www.imdb.com/title/tt0082971/reviews?ref_=tt_urv
0209144,Memento,2000,Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss,8.4,https://www.imdb.com/title/tt0209144/reviews?ref_=tt_urv
0078788,Apocalypse Now,1979,Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando,8.4,https://www.imdb.com/title/tt0078788/reviews?ref_=tt_urv
4154796,Avengers: Endgame,2019,Anthony Russo (dir.), Robert Downey Jr., Chris Evans,8.4,https://www.imdb.com/title/tt4154796/reviews?ref_=tt_urv
0032553,The Great Dictator,1940,Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard,8.4,https://www.imdb.com/title/tt0032553/reviews?ref_=tt_urv
0405094,The Lives of Others,2006,Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck,8.4,https://www.imdb.com/title/tt0405094/reviews?ref_=tt_urv
1853728,Django Unchained,2012,Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz,8.4,https://www.imdb.com/title/tt1853728/reviews?ref_=tt_urv
4154756,Avengers: Infinity War,2018,Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth,8.4,https://www.imdb.com/title/tt4154756/reviews?ref_=tt_urv
0081505,The Shining,1980,Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall,8.4,https://www.imdb.com/title/tt0081505/reviews?ref_=tt_urv
0050825,Paths of Glory,1957,Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker,8.4,https://www.imdb.com/title/tt0050825/reviews?ref_=tt_urv
4633694,Spider-Man: Into the Spider-Verse,2018,Bob Persichetti (dir.), Shameik Moore, Jake Johnson,8.4,https://www.imdb.com/title/tt4633694/reviews?ref_=tt_urv
0910970,WALL·E,2008,Andrew Stanton (dir.), Ben Burtt, Elissa Knight,8.4,https://www.imdb.com/title/tt0910970/reviews?ref_=tt_urv
0043014,Sunset Blvd.,1950,Billy Wilder (dir.), William Holden, Gloria Swanson,8.4,https://www.imdb.com/title/tt0043014/reviews?ref_=tt_urv
0119698,Princess Mononoke,1997,Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida,8.4,https://www.imdb.com/title/tt0119698/reviews?ref_=tt_urv
0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick (dir.), Peter Sellers, George C. Scott,8.4,https://www.imdb.com/title/tt0057012/reviews?ref_=tt_urv
0364569,Oldboy,2003,Chan-wook Park (dir.), Min-sik Choi, Ji-Tae Yoo,8.4,https://www.imdb.com/title/tt0364569/reviews?ref_=tt_urv
0051201,Witness for the Prosecution,1957,Billy Wilder (dir.), Tyrone Power, Marlene Dietrich,8.3,https://www.imdb.com/title/tt0051201/reviews?ref_=tt_urv
1345836,The Dark Knight Rises,2012,Christopher Nolan (dir.), Christian Bale, Tom Hardy,8.3,https://www.imdb.com/title/tt1345836/reviews?ref_=tt_urv
0087843,Once Upon a Time in America,1984,Sergio Leone (dir.), Robert De Niro, James Woods,8.3,https://www.imdb.com/title/tt0087843/reviews?ref_=tt_urv
0090605,Aliens,1986,James Cameron (dir.), Sigourney Weaver, Michael Biehn,8.3,https://www.imdb.com/title/tt0090605/reviews?ref_=tt_urv
0169547,American Beauty,1999,Sam Mendes (dir.), Kevin Spacey, Annette Bening,8.3,https://www.imdb.com/title/tt0169547/reviews?ref_=tt_urv
5311514,Your Name.,2016,Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi,8.3,https://www.imdb.com/title/tt5311514/reviews?ref_=tt_urv
2380307,Coco,2017,Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal,8.3,https://www.imdb.com/title/tt2380307/reviews?ref_=tt_urv
0112573,Braveheart,1995,Mel Gibson (dir.), Mel Gibson, Sophie Marceau,8.3,https://www.imdb.com/title/tt0112573/reviews?ref_=tt_urv
0082096,Das Boot,1981,Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer,8.3,https://www.imdb.com/title/tt0082096/reviews?ref_=tt_urv
